City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,haines junction,60.7522,-137.5108,18.97,42,100,1.54,CA,1686254699
116,yenagoa,4.9247,6.2642,23.24,96,100,3.15,NG,1686254699
117,port elizabeth,-33.918,25.5701,14.62,79,6,1.54,ZA,1686254699
118,constitucion,-35.3333,-72.4167,14.29,92,100,10.39,CL,1686254699
119,derzhavinsk,51.1,66.3167,17.39,52,32,4.21,KZ,1686254699
120,saint-georges,12.0564,-61.7485,30.82,70,20,10.8,GD,1686254664
121,sabzevar,36.2126,57.6819,23.87,47,77,4.76,IR,1686254699
122,kosovska mitrovica,42.8833,20.8667,16.76,88,92,0.91,XK,1686254699
123,yelnya,54.5786,33.1837,12.41,88,84,2.37,RU,1686254699
124,grindavik,63.8424,-22.4338,9.97,93,100,10.29,IS,1686254699
125,pingzhuang,42.0372,119.2889,14.63,35,51,2.06,CN,1686254699
126,almaznyy,48.0448,40.045,15.93,66,44,1.72,RU,1686254700
127,salalah,17.0151,54.0924,30.05,84,75,2.57,OM,1686254700
128,qaanaaq,77.484,-69.3632,-1.64,69,100,2.35,GL,1686254700
129,san vicente,-26.6167,-54.1333,21.35,53,0,1.44,AR,1686254700
130,arvika,59.6553,12.5852,17.34,50,6,1.76,SE,1686254700
131,kabinda,-6.1333,24.4833,23.25,46,38,2.27,CD,1686254700
132,russell,32.3502,-85.1999,31.78,43,0,5.66,US,1686254700
133,akureyri,65.6835,-18.0878,12.96,58,75,6.17,IS,1686254700
134,san miguel acatan,15.7,-91.6167,28.75,51,75,1.68,GT,1686254700
135,tuktoyaktuk,69.4541,-133.0374,4.0,81,75,5.66,CA,1686254700
136,progreso,21.2833,-89.6667,36.06,57,0,5.58,MX,1686254700
137,hasaki,35.7333,140.8333,20.68,96,100,9.56,JP,1686254700
138,druzhba,52.0428,33.9453,14.41,84,98,2.25,UA,1686254700
139,palmer,42.1584,-72.3287,18.47,63,75,2.57,US,1686254450
140,sorland,67.667,12.6934,6.92,66,11,4.0,NO,1686254700
141,adrar,20.5022,-10.0711,34.45,21,32,5.8,MR,1686254701
142,noumea,-22.2763,166.4572,19.44,99,0,2.88,NC,1686254402
143,mareeba,-17.0,145.4333,18.4,92,98,1.05,AU,1686254701
144,albany,42.6001,-73.9662,17.25,73,95,1.53,US,1686254514
145,magistralnyy,56.1725,107.4458,11.2,68,87,1.11,RU,1686254701
146,suamico,44.6319,-88.0393,24.27,30,0,0.0,US,1686254701
147,dunedin,-45.8742,170.5036,6.56,77,88,1.79,NZ,1686254581
148,bilibino,68.0546,166.4372,14.29,42,9,1.07,RU,1686254701
149,villa bruzual,9.3328,-69.1208,28.99,68,78,1.59,VE,1686254701
150,qaqortoq,60.7167,-46.0333,5.44,61,19,7.95,GL,1686254701
151,lere,10.387,8.5726,22.19,82,100,1.15,NG,1686254701
152,kungurtug,50.5994,97.5228,11.92,76,16,0.96,RU,1686254701
153,luderitz,-26.6481,15.1594,13.44,82,0,1.26,NA,1686254702
154,nome,64.5011,-165.4064,10.37,96,100,3.49,US,1686254511
155,vaini,-21.2,-175.2,22.09,94,75,4.63,TO,1686254512
156,sitka,57.0531,-135.33,13.94,72,75,3.09,US,1686254702
157,maragogi,-9.0122,-35.2225,25.11,85,14,4.11,BR,1686254702
158,christchurch,-43.5333,172.6333,6.64,88,100,1.03,NZ,1686254703
159,ponta do sol,32.6667,-17.1,22.35,79,90,5.19,PT,1686254703
160,mahanoro,-19.9,48.8,21.25,91,29,1.03,MG,1686254703
161,vestmannaeyjar,63.4427,-20.2734,9.55,93,40,4.63,IS,1686254704
162,balingasay,16.3573,119.8564,27.7,79,51,2.39,PH,1686254704
163,nouadhibou,20.931,-17.0347,23.99,83,20,6.69,MR,1686254704
164,kyra,49.5776,111.9753,7.1,81,1,2.7,RU,1686254704
165,yar-sale,66.8333,70.8333,5.15,56,97,3.7,RU,1686254704
166,valley city,46.9233,-98.0032,27.29,69,75,4.63,US,1686254704
167,akdepe,42.0551,59.3788,23.05,34,96,3.71,TM,1686254704
168,sioux lookout,50.1001,-91.917,23.04,33,75,2.57,CA,1686254705
169,whitehaven,54.549,-3.5841,15.92,63,71,2.24,GB,1686254705
170,sesheke,-17.4759,24.2968,22.58,33,92,1.03,ZM,1686254683
171,bintulu,3.1667,113.0333,26.23,94,20,0.0,MY,1686254705
172,viedma,-40.8135,-62.9967,25.0,25,6,14.69,AR,1686254705
173,codrington,-38.2667,141.9667,9.35,68,80,9.06,AU,1686254699
174,tanout,14.9709,8.8879,30.49,40,100,8.29,NE,1686254705
175,portland,45.5234,-122.6762,24.1,48,75,3.09,US,1686254044
176,ambatofinandrahana,-20.55,46.8,13.95,88,5,1.71,MG,1686254705
177,tuatapere,-46.1333,167.6833,2.28,91,6,1.45,NZ,1686254705
178,madison,34.7334,-86.5667,29.28,42,0,4.12,US,1686254657
179,cherskiy,68.75,161.3,14.28,42,6,0.94,RU,1686254706
180,bubaque,11.2833,-15.8333,27.39,74,60,7.95,GW,1686254706
181,seymchan,62.8833,152.4333,14.06,67,100,0.76,RU,1686254706
182,east london,-33.0153,27.9116,18.53,49,45,2.68,ZA,1686254706
183,komsomolskiy,40.4272,71.7189,25.4,27,30,4.12,UZ,1686254706
184,uniao,-4.5858,-42.8642,28.51,63,95,1.76,BR,1686254706
185,dickson,36.077,-87.3878,27.66,38,0,6.17,US,1686254706
186,namatanai,-3.6667,152.4333,25.97,85,85,2.66,PG,1686254541
187,namibe,-15.1961,12.1522,18.7,81,0,6.63,AO,1686254422
188,morondava,-20.2833,44.2833,23.56,81,0,3.17,MG,1686254706
189,albanel,48.8832,-72.4487,13.08,82,100,4.63,CA,1686254706
190,port hawkesbury,45.6169,-61.3485,17.73,73,100,2.24,CA,1686254706
191,wenling,28.3669,121.36,22.01,95,100,0.94,CN,1686254707
192,nanakuli,21.3906,-158.1547,28.97,51,20,4.63,US,1686254707
193,ilulissat,69.2167,-51.1,-0.55,64,2,1.14,GL,1686254707
194,lorengau,-2.0226,147.2712,26.69,83,100,1.25,PG,1686254707
195,kez,57.8979,53.7152,5.7,85,15,0.7,RU,1686254707
196,puerto madryn,-42.7692,-65.0385,20.26,41,3,17.02,AR,1686254556
197,kita,13.0349,-9.4895,34.99,23,100,0.96,ML,1686254707
198,povenets,62.8487,34.8262,7.27,93,100,2.91,RU,1686254708
199,yermakovskoye,53.2831,92.4003,17.13,78,100,1.13,RU,1686254708
200,shimoda,34.6667,138.95,18.39,96,100,11.04,JP,1686254708
201,khuzhir,53.1939,107.3397,9.12,63,23,1.86,RU,1686254708
202,ouallam,14.3188,2.0866,36.37,18,0,3.81,NE,1686254708
203,menongue,-14.6585,17.691,15.47,35,10,0.75,AO,1686254708
204,avera,33.194,-82.5271,31.88,52,100,1.97,US,1686254708
205,husavik,66.0449,-17.3389,11.24,70,100,5.83,IS,1686254708
206,kahului,20.8947,-156.47,31.01,62,20,6.17,US,1686254708
